Race,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Australia ,"296,000","271,800","296,600","295,000","324,100",,,"419,114","444,631","452,055","465,498"
China ,"145,000","140,000","145,000",-,-,,,,,"200,000","220,000"
Japan ,"165,000","145,000","137,000","165,000","122,000",,,"200,000","222,000","229,000","266,000"
Bahrain ,"90,000","92,000","93,000","95,000","97,000",0,"4,500","98,000","99,500","100,000","105,000"
Saudia Arabia ,,,,,,,"143,000",-,"150,000",,-
Miami,,,,,,,,,"270,491","275,000","275,000"
Emiglia-Romagna  ,,,,,,0,0,"129,656",,"200,000","242,000"
Portugal ,,,,,,"27,000",0,,,,
Monaco ,"200,000","200,000","200,000",-,-,,"25,500",-,-,,"250,000"
Spain  ,-,"165,029","177,984",-,"160,428",0,"1,000",,"284,066","297,368","300,286"
Canada,"244,374","300,000","180,000",-,"307,000",,,"338,000","345,000","350,000","352,000"
Austria,"120,000","85,000","145,000",-,"203,000",0,"147,000","303,000","304,000","302,000","300,000"
Great Britain  ,"350,000","350,000","344,500","340,000","351,000",0,"346,000","401,000","480,000","480,000","500,000"
France,,,,"150,000","135,000",,"45,000","200,000",,,
Belgium,"165,000","233,730","265,000","250,000","251,864",0,"213,000","360,000","380,000","380,000","389,000"
Germany,,-,,"165,000","153,000",,,,,,
Hungary,"186,000","176,000","199,000","210,000","230,000",0,"130,000","290,000","303,000","310,000","300,000"
Netherlands,,,,,,,"195,000","305,000","305,000","305,000","305,000"
Italy  ,"154,000","147,500","185,000",-,"200,000",0,"46,000","337,000","304,135","335,000","370,000"
Tuscany,,,,,,"1,500",,,,,
Russia,"149,000","158,000","150,000",-,,"30,000",,,,,
Eifel,,,,,,"13,500",,,,,
Turkey,,,,,,0,"190,000",,,,
Azerbaijan,,"30,000","71,451","94,000","85,000",,0,-,-,"76,000",-
Singapore,"260,912","218,824","260,400","263,000","268,000",,,"302,000","264,108","269,072","300,641"
Malaysia,"80,604","88,828","110,604",,,,,,,,
United States,"224,011","269,889","258,000","263,160","268,000",,"400,000","440,000","432,000","430,000",-
Mexico,"336,174","339,967","337,043","334,946","345,694",,"372,000","395,902","400,639","404,958","401,326"
Brazil  ,-,"136,410","141,218","150,000","150,307",,"181,000","236,000","267,000","291,717",
Las Vegas,,,,,,,,,"315,000","306,000",
Qatar,,,,,,,"80,000",,"120,000","154,973",
Abu Dhabi,-,"195,000","195,000",-,-,0,"153,000","160,000",-,"192,000",
